Student ID,Level,Program,Preferred Learning Method,Preferred Study Time,Preferred Language for Learning Materials,Challenging Subject Areas,Preferred Content Platforms,Topics of Interest,Future Goals,Challenges,Suggestions,Introduction to Computer Systems (CMIS 2113),Programming Fundamentals (CMIS 2123),Data Structures and Algorithms (CMIS 2214),Operating Systems (CMIS 3114),Database Systems (CMIS 3122),Object-Oriented Programming (CMIS 3134),Advanced Software Engineering (CMIS 4114),Artificial Intelligence (CMIS 4123),Network Security (CMIS 4134),Basic Electronics (ELTN 2112),Circuit Analysis (ELTN 2232),Microprocessor Systems (ELTN 3113),Digital Electronics (ELTN 3133),Embedded Systems Design (ELTN 4114),Power Electronics (ELTN 4213),Foundations of Industrial Management (IMGT 2112),Operations Management (IMGT 3112),Strategic Management (IMGT 4016),Linear Algebra (MATH 2114),Numerical Methods (MATH 3114),Optimization Techniques (MATH 4114),Introduction to Probability and Statistics (STAT 2112),Statistical Inference (STAT 3112),Time Series Analysis (STAT 4114)
212300,Level 3,B.Sc. (Special) Degree,"Reading/Writing, Visual, Kinesthetic",Morning,"English, Tamil",Statistics,"edX, Books, Udemy","Programming, Machine Learning, Data Science",Teacher,Time Management,Online Courses,Introduction to Computer Systems (CMIS 2113): None,Programming Fundamentals (CMIS 2123): None,Data Structures and Algorithms (CMIS 2214): None,Operating Systems (CMIS 3114): C,Database Systems (CMIS 3122): D,Object-Oriented Programming (CMIS 3134): B,Advanced Software Engineering (CMIS 4114): None,Artificial Intelligence (CMIS 4123): None,Network Security (CMIS 4134): None,Basic Electronics (ELTN 2112): None,Circuit Analysis (ELTN 2232): None,Microprocessor Systems (ELTN 3113): B,Digital Electronics (ELTN 3133): A+,Embedded Systems Design (ELTN 4114): None,Power Electronics (ELTN 4213): None,Foundations of Industrial Management (IMGT 2112): None,Operations Management (IMGT 3112): None,Strategic Management (IMGT 4016): None,Linear Algebra (MATH 2114): None,Numerical Methods (MATH 3114): A,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): None,Statistical Inference (STAT 3112): B,Time Series Analysis (STAT 4114): None
212124,Level 3,B.Sc. (Joint Major) Degree,"Visual, Reading/Writing, Kinesthetic",Morning,Tamil,"Statistics, Computer Sciences","Books, Udemy","Robotics, Machine Learning, AI, Data Science, Programming",Teacher,Understanding Concepts,Group Studies,Introduction to Computer Systems (CMIS 2113): None,Programming Fundamentals (CMIS 2123): None,Data Structures and Algorithms (CMIS 2214): None,Operating Systems (CMIS 3114): C,Database Systems (CMIS 3122): C,Object-Oriented Programming (CMIS 3134): None,Advanced Software Engineering (CMIS 4114): None,Artificial Intelligence (CMIS 4123): None,Network Security (CMIS 4134): None,Basic Electronics (ELTN 2112): None,Circuit Analysis (ELTN 2232): None,Microprocessor Systems (ELTN 3113): B+,Digital Electronics (ELTN 3133): E,Embedded Systems Design (ELTN 4114): None,Power Electronics (ELTN 4213): None,Foundations of Industrial Management (IMGT 2112): None,Operations Management (IMGT 3112): C,Strategic Management (IMGT 4016): None,Linear Algebra (MATH 2114): None,Numerical Methods (MATH 3114): D,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): None,Statistical Inference (STAT 3112): A+,Time Series Analysis (STAT 4114): None
202807,Level 4,B.Sc. (Special) Degree,Reading/Writing,Evening,English,Industrial Management,"Khan Academy, Coursera, YouTube, edX, Books",AI,Researcher,Understanding Concepts,More Practice,Introduction to Computer Systems (CMIS 2113): None,Programming Fundamentals (CMIS 2123): None,Data Structures and Algorithms (CMIS 2214): None,Operating Systems (CMIS 3114): None,Database Systems (CMIS 3122): None,Object-Oriented Programming (CMIS 3134): None,Advanced Software Engineering (CMIS 4114): None,Artificial Intelligence (CMIS 4123): None,Network Security (CMIS 4134): None,Basic Electronics (ELTN 2112): None,Circuit Analysis (ELTN 2232): None,Microprocessor Systems (ELTN 3113): None,Digital Electronics (ELTN 3133): None,Embedded Systems Design (ELTN 4114): None,Power Electronics (ELTN 4213): None,Foundations of Industrial Management (IMGT 2112): None,Operations Management (IMGT 3112): None,Strategic Management (IMGT 4016): None,Linear Algebra (MATH 2114): None,Numerical Methods (MATH 3114): None,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): None,Statistical Inference (STAT 3112): None,Time Series Analysis (STAT 4114): None
212300,Level 3,B.Sc. (General) Degree,"Reading/Writing, Kinesthetic",Morning,"Sinhala, English",Statistics,"Coursera, YouTube, edX, Books, Udemy, Khan Academy","Programming, Robotics, Data Science, AI, Machine Learning",Teacher,Understanding Concepts,More Practice,Introduction to Computer Systems (CMIS 2113): None,Programming Fundamentals (CMIS 2123): None,Data Structures and Algorithms (CMIS 2214): None,Operating Systems (CMIS 3114): B,Database Systems (CMIS 3122): None,Object-Oriented Programming (CMIS 3134): C,Advanced Software Engineering (CMIS 4114): None,Artificial Intelligence (CMIS 4123): None,Network Security (CMIS 4134): None,Basic Electronics (ELTN 2112): None,Circuit Analysis (ELTN 2232): None,Microprocessor Systems (ELTN 3113): E,Digital Electronics (ELTN 3133): B+,Embedded Systems Design (ELTN 4114): None,Power Electronics (ELTN 4213): None,Foundations of Industrial Management (IMGT 2112): None,Operations Management (IMGT 3112): A+,Strategic Management (IMGT 4016): None,Linear Algebra (MATH 2114): None,Numerical Methods (MATH 3114): B,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): None,Statistical Inference (STAT 3112): D,Time Series Analysis (STAT 4114): None
212115,Level 3,B.Sc. (Special) Degree,"Visual, Reading/Writing",Morning,"Sinhala, Tamil, English",Industrial Management,"YouTube, edX, Khan Academy, Books, Udemy","Machine Learning, Programming, Data Science, Robotics, AI",Software Engineer,Resources,Interactive Learning,Introduction to Computer Systems (CMIS 2113): None,Programming Fundamentals (CMIS 2123): None,Data Structures and Algorithms (CMIS 2214): None,Operating Systems (CMIS 3114): None,Database Systems (CMIS 3122): B,Object-Oriented Programming (CMIS 3134): D,Advanced Software Engineering (CMIS 4114): None,Artificial Intelligence (CMIS 4123): None,Network Security (CMIS 4134): None,Basic Electronics (ELTN 2112): None,Circuit Analysis (ELTN 2232): None,Microprocessor Systems (ELTN 3113): A+,Digital Electronics (ELTN 3133): B,Embedded Systems Design (ELTN 4114): None,Power Electronics (ELTN 4213): None,Foundations of Industrial Management (IMGT 2112): None,Operations Management (IMGT 3112): B,Strategic Management (IMGT 4016): None,Linear Algebra (MATH 2114): None,Numerical Methods (MATH 3114): B+,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): None,Statistical Inference (STAT 3112): B,Time Series Analysis (STAT 4114): None
222708,Level 2,B.Sc. (Special/Joint Major/General) Degree,"Visual, Auditory, Kinesthetic",Evening,"Sinhala, English, Tamil","Statistics, Electronics, Computer Sciences","Udemy, Coursera, YouTube, edX","Robotics, Machine Learning, Data Science, AI",Software Engineer,Resources,Interactive Learning,Introduction to Computer Systems (CMIS 2113): C-,Programming Fundamentals (CMIS 2123): None,Data Structures and Algorithms (CMIS 2214): C-,Operating Systems (CMIS 3114): None,Database Systems (CMIS 3122): None,Object-Oriented Programming (CMIS 3134): None,Advanced Software Engineering (CMIS 4114): None,Artificial Intelligence (CMIS 4123): None,Network Security (CMIS 4134): None,Basic Electronics (ELTN 2112): A+,Circuit Analysis (ELTN 2232): A,Microprocessor Systems (ELTN 3113): None,Digital Electronics (ELTN 3133): None,Embedded Systems Design (ELTN 4114): None,Power Electronics (ELTN 4213): None,Foundations of Industrial Management (IMGT 2112): C,Operations Management (IMGT 3112): None,Strategic Management (IMGT 4016): None,Linear Algebra (MATH 2114): A,Numerical Methods (MATH 3114): None,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): E,Statistical Inference (STAT 3112): None,Time Series Analysis (STAT 4114): None
202052,Level 4,B.Sc. (General) Degree,"Reading/Writing, Auditory",Morning,"Tamil, English","Statistics, Electronics, Computer Sciences","Coursera, Udemy, edX, Books","AI, Data Science, Machine Learning, Programming",Teacher,Time Management,More Practice,Introduction to Computer Systems (CMIS 2113): None,Programming Fundamentals (CMIS 2123): None,Data Structures and Algorithms (CMIS 2214): None,Operating Systems (CMIS 3114): None,Database Systems (CMIS 3122): None,Object-Oriented Programming (CMIS 3134): None,Advanced Software Engineering (CMIS 4114): None,Artificial Intelligence (CMIS 4123): None,Network Security (CMIS 4134): None,Basic Electronics (ELTN 2112): None,Circuit Analysis (ELTN 2232): None,Microprocessor Systems (ELTN 3113): None,Digital Electronics (ELTN 3133): None,Embedded Systems Design (ELTN 4114): B+,Power Electronics (ELTN 4213): C-,Foundations of Industrial Management (IMGT 2112): None,Operations Management (IMGT 3112): None,Strategic Management (IMGT 4016): D,Linear Algebra (MATH 2114): None,Numerical Methods (MATH 3114): None,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): None,Statistical Inference (STAT 3112): None,Time Series Analysis (STAT 4114): None
202354,Level 4,B.Sc. (General) Degree,"Auditory, Kinesthetic, Reading/Writing, Visual",Evening,"Sinhala, English, Tamil",Computer Sciences,"Udemy, YouTube, Books, Khan Academy, edX, Coursera","Robotics, Machine Learning, AI, Programming, Data Science",Researcher,Understanding Concepts,More Practice,Introduction to Computer Systems (CMIS 2113): None,Programming Fundamentals (CMIS 2123): None,Data Structures and Algorithms (CMIS 2214): None,Operating Systems (CMIS 3114): None,Database Systems (CMIS 3122): None,Object-Oriented Programming (CMIS 3134): None,Advanced Software Engineering (CMIS 4114): None,Artificial Intelligence (CMIS 4123): None,Network Security (CMIS 4134): None,Basic Electronics (ELTN 2112): None,Circuit Analysis (ELTN 2232): None,Microprocessor Systems (ELTN 3113): None,Digital Electronics (ELTN 3133): None,Embedded Systems Design (ELTN 4114): B,Power Electronics (ELTN 4213): B+,Foundations of Industrial Management (IMGT 2112): None,Operations Management (IMGT 3112): None,Strategic Management (IMGT 4016): A,Linear Algebra (MATH 2114): None,Numerical Methods (MATH 3114): None,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): None,Statistical Inference (STAT 3112): None,Time Series Analysis (STAT 4114): None
212894,Level 3,B.Sc. (Joint Major) Degree,Auditory,Morning,"Tamil, Sinhala, English","Computer Sciences, Industrial Management","Udemy, edX, Coursera, Books, YouTube","Machine Learning, Programming, AI, Data Science, Robotics",Teacher,Motivation,Online Courses,Introduction to Computer Systems (CMIS 2113): None,Programming Fundamentals (CMIS 2123): None,Data Structures and Algorithms (CMIS 2214): None,Operating Systems (CMIS 3114): None,Database Systems (CMIS 3122): B,Object-Oriented Programming (CMIS 3134): E,Advanced Software Engineering (CMIS 4114): None,Artificial Intelligence (CMIS 4123): None,Network Security (CMIS 4134): None,Basic Electronics (ELTN 2112): None,Circuit Analysis (ELTN 2232): None,Microprocessor Systems (ELTN 3113): B,Digital Electronics (ELTN 3133): C,Embedded Systems Design (ELTN 4114): None,Power Electronics (ELTN 4213): None,Foundations of Industrial Management (IMGT 2112): None,Operations Management (IMGT 3112): A,Strategic Management (IMGT 4016): None,Linear Algebra (MATH 2114): None,Numerical Methods (MATH 3114): B+,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): None,Statistical Inference (STAT 3112): A,Time Series Analysis (STAT 4114): None
222853,Level 2,B.Sc. (Special/Joint Major/General) Degree,Visual,Afternoon,"Tamil, Sinhala",Maths,"Coursera, edX, Udemy, Books, YouTube, Khan Academy","Programming, Robotics",Data Scientist,Resources,Group Studies,Introduction to Computer Systems (CMIS 2113): E,Programming Fundamentals (CMIS 2123): None,Data Structures and Algorithms (CMIS 2214): B+,Operating Systems (CMIS 3114): None,Database Systems (CMIS 3122): None,Object-Oriented Programming (CMIS 3134): None,Advanced Software Engineering (CMIS 4114): None,Artificial Intelligence (CMIS 4123): None,Network Security (CMIS 4134): None,Basic Electronics (ELTN 2112): D,Circuit Analysis (ELTN 2232): C,Microprocessor Systems (ELTN 3113): None,Digital Electronics (ELTN 3133): None,Embedded Systems Design (ELTN 4114): None,Power Electronics (ELTN 4213): None,Foundations of Industrial Management (IMGT 2112): E,Operations Management (IMGT 3112): None,Strategic Management (IMGT 4016): None,Linear Algebra (MATH 2114): D,Numerical Methods (MATH 3114): None,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): E,Statistical Inference (STAT 3112): None,Time Series Analysis (STAT 4114): None
222096,Level 2,B.Sc. (Special/Joint Major/General) Degree,"Reading/Writing, Visual, Auditory",Evening,"Tamil, English, Sinhala","Electronics, Statistics, Maths, Industrial Management","Coursera, Udemy, Books, YouTube, edX, Khan Academy",Data Science,Researcher,Understanding Concepts,Interactive Learning,Introduction to Computer Systems (CMIS 2113): D,Programming Fundamentals (CMIS 2123): A+,Data Structures and Algorithms (CMIS 2214): B+,Operating Systems (CMIS 3114): None,Database Systems (CMIS 3122): None,Object-Oriented Programming (CMIS 3134): None,Advanced Software Engineering (CMIS 4114): None,Artificial Intelligence (CMIS 4123): None,Network Security (CMIS 4134): None,Basic Electronics (ELTN 2112): D,Circuit Analysis (ELTN 2232): A+,Microprocessor Systems (ELTN 3113): None,Digital Electronics (ELTN 3133): None,Embedded Systems Design (ELTN 4114): None,Power Electronics (ELTN 4213): None,Foundations of Industrial Management (IMGT 2112): B,Operations Management (IMGT 3112): None,Strategic Management (IMGT 4016): None,Linear Algebra (MATH 2114): None,Numerical Methods (MATH 3114): None,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): E,Statistical Inference (STAT 3112): None,Time Series Analysis (STAT 4114): None
222281,Level 2,B.Sc. (Special/Joint Major/General) Degree,Auditory,Afternoon,"Sinhala, English","Industrial Management, Electronics, Statistics","Coursera, edX, Udemy","Programming, AI",Data Scientist,Motivation,Interactive Learning,Introduction to Computer Systems (CMIS 2113): B,Programming Fundamentals (CMIS 2123): B,Data Structures and Algorithms (CMIS 2214): A+,Operating Systems (CMIS 3114): None,Database Systems (CMIS 3122): None,Object-Oriented Programming (CMIS 3134): None,Advanced Software Engineering (CMIS 4114): None,Artificial Intelligence (CMIS 4123): None,Network Security (CMIS 4134): None,Basic Electronics (ELTN 2112): B,Circuit Analysis (ELTN 2232): B+,Microprocessor Systems (ELTN 3113): None,Digital Electronics (ELTN 3133): None,Embedded Systems Design (ELTN 4114): None,Power Electronics (ELTN 4213): None,Foundations of Industrial Management (IMGT 2112): None,Operations Management (IMGT 3112): None,Strategic Management (IMGT 4016): None,Linear Algebra (MATH 2114): C,Numerical Methods (MATH 3114): None,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): A+,Statistical Inference (STAT 3112): None,Time Series Analysis (STAT 4114): None
212766,Level 3,B.Sc. (Special) Degree,"Kinesthetic, Reading/Writing, Auditory, Visual",Evening,English,"Statistics, Electronics","Khan Academy, Udemy, YouTube","Data Science, Robotics, AI, Programming, Machine Learning",Software Engineer,Motivation,Interactive Learning,Introduction to Computer Systems (CMIS 2113): None,Programming Fundamentals (CMIS 2123): None,Data Structures and Algorithms (CMIS 2214): None,Operating Systems (CMIS 3114): C-,Database Systems (CMIS 3122): None,Object-Oriented Programming (CMIS 3134): D,Advanced Software Engineering (CMIS 4114): None,Artificial Intelligence (CMIS 4123): None,Network Security (CMIS 4134): None,Basic Electronics (ELTN 2112): None,Circuit Analysis (ELTN 2232): None,Microprocessor Systems (ELTN 3113): B,Digital Electronics (ELTN 3133): B+,Embedded Systems Design (ELTN 4114): None,Power Electronics (ELTN 4213): None,Foundations of Industrial Management (IMGT 2112): None,Operations Management (IMGT 3112): E,Strategic Management (IMGT 4016): None,Linear Algebra (MATH 2114): None,Numerical Methods (MATH 3114): C-,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): None,Statistical Inference (STAT 3112): D,Time Series Analysis (STAT 4114): None
222891,Level 2,B.Sc. (Special/Joint Major/General) Degree,"Visual, Auditory, Kinesthetic, Reading/Writing",Evening,"Tamil, English",Statistics,"Khan Academy, YouTube, Books, Coursera, Udemy","AI, Programming",Software Engineer,Time Management,More Practice,Introduction to Computer Systems (CMIS 2113): B,Programming Fundamentals (CMIS 2123): A+,Data Structures and Algorithms (CMIS 2214): None,Operating Systems (CMIS 3114): None,Database Systems (CMIS 3122): None,Object-Oriented Programming (CMIS 3134): None,Advanced Software Engineering (CMIS 4114): None,Artificial Intelligence (CMIS 4123): None,Network Security (CMIS 4134): None,Basic Electronics (ELTN 2112): B,Circuit Analysis (ELTN 2232): A,Microprocessor Systems (ELTN 3113): None,Digital Electronics (ELTN 3133): None,Embedded Systems Design (ELTN 4114): None,Power Electronics (ELTN 4213): None,Foundations of Industrial Management (IMGT 2112): B,Operations Management (IMGT 3112): None,Strategic Management (IMGT 4016): None,Linear Algebra (MATH 2114): A+,Numerical Methods (MATH 3114): None,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): B,Statistical Inference (STAT 3112): None,Time Series Analysis (STAT 4114): None
222095,Level 2,B.Sc. (Special/Joint Major/General) Degree,"Auditory, Reading/Writing",Morning,Sinhala,"Electronics, Maths, Statistics, Industrial Management","Udemy, Khan Academy","Data Science, Robotics, Machine Learning, AI",Teacher,Resources,More Practice,Introduction to Computer Systems (CMIS 2113): A,Programming Fundamentals (CMIS 2123): None,Data Structures and Algorithms (CMIS 2214): B,Operating Systems (CMIS 3114): None,Database Systems (CMIS 3122): None,Object-Oriented Programming (CMIS 3134): None,Advanced Software Engineering (CMIS 4114): None,Artificial Intelligence (CMIS 4123): None,Network Security (CMIS 4134): None,Basic Electronics (ELTN 2112): B,Circuit Analysis (ELTN 2232): C,Microprocessor Systems (ELTN 3113): None,Digital Electronics (ELTN 3133): None,Embedded Systems Design (ELTN 4114): None,Power Electronics (ELTN 4213): None,Foundations of Industrial Management (IMGT 2112): A+,Operations Management (IMGT 3112): None,Strategic Management (IMGT 4016): None,Linear Algebra (MATH 2114): B,Numerical Methods (MATH 3114): None,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): B,Statistical Inference (STAT 3112): None,Time Series Analysis (STAT 4114): None
222602,Level 2,B.Sc. (Special/Joint Major/General) Degree,Reading/Writing,Morning,Tamil,"Maths, Electronics","Coursera, Books, Khan Academy, YouTube","Data Science, AI",Entrepreneur,Time Management,Interactive Learning,Introduction to Computer Systems (CMIS 2113): A,Programming Fundamentals (CMIS 2123): B+,Data Structures and Algorithms (CMIS 2214): None,Operating Systems (CMIS 3114): None,Database Systems (CMIS 3122): None,Object-Oriented Programming (CMIS 3134): None,Advanced Software Engineering (CMIS 4114): None,Artificial Intelligence (CMIS 4123): None,Network Security (CMIS 4134): None,Basic Electronics (ELTN 2112): C,Circuit Analysis (ELTN 2232): C-,Microprocessor Systems (ELTN 3113): None,Digital Electronics (ELTN 3133): None,Embedded Systems Design (ELTN 4114): None,Power Electronics (ELTN 4213): None,Foundations of Industrial Management (IMGT 2112): B+,Operations Management (IMGT 3112): None,Strategic Management (IMGT 4016): None,Linear Algebra (MATH 2114): D,Numerical Methods (MATH 3114): None,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): C-,Statistical Inference (STAT 3112): None,Time Series Analysis (STAT 4114): None
212466,Level 3,B.Sc. (General) Degree,"Visual, Reading/Writing, Auditory",Afternoon,Sinhala,Industrial Management,Books,"Robotics, Programming, Machine Learning, Data Science, AI",Teacher,Resources,Online Courses,Introduction to Computer Systems (CMIS 2113): None,Programming Fundamentals (CMIS 2123): None,Data Structures and Algorithms (CMIS 2214): None,Operating Systems (CMIS 3114): C-,Database Systems (CMIS 3122): E,Object-Oriented Programming (CMIS 3134): C-,Advanced Software Engineering (CMIS 4114): None,Artificial Intelligence (CMIS 4123): None,Network Security (CMIS 4134): None,Basic Electronics (ELTN 2112): None,Circuit Analysis (ELTN 2232): None,Microprocessor Systems (ELTN 3113): None,Digital Electronics (ELTN 3133): C,Embedded Systems Design (ELTN 4114): None,Power Electronics (ELTN 4213): None,Foundations of Industrial Management (IMGT 2112): None,Operations Management (IMGT 3112): A+,Strategic Management (IMGT 4016): None,Linear Algebra (MATH 2114): None,Numerical Methods (MATH 3114): B,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): None,Statistical Inference (STAT 3112): B+,Time Series Analysis (STAT 4114): None
202061,Level 4,B.Sc. (Joint Major) Degree,"Kinesthetic, Reading/Writing, Visual, Auditory",Afternoon,"Sinhala, English, Tamil","Maths, Computer Sciences","Khan Academy, Coursera, YouTube, edX, Books, Udemy","Programming, Machine Learning, Data Science, AI, Robotics",Researcher,Understanding Concepts,Interactive Learning,Introduction to Computer Systems (CMIS 2113): None,Programming Fundamentals (CMIS 2123): None,Data Structures and Algorithms (CMIS 2214): None,Operating Systems (CMIS 3114): None,Database Systems (CMIS 3122): None,Object-Oriented Programming (CMIS 3134): None,Advanced Software Engineering (CMIS 4114): A+,Artificial Intelligence (CMIS 4123): C,Network Security (CMIS 4134): B+,Basic Electronics (ELTN 2112): None,Circuit Analysis (ELTN 2232): None,Microprocessor Systems (ELTN 3113): None,Digital Electronics (ELTN 3133): None,Embedded Systems Design (ELTN 4114): None,Power Electronics (ELTN 4213): None,Foundations of Industrial Management (IMGT 2112): None,Operations Management (IMGT 3112): None,Strategic Management (IMGT 4016): None,Linear Algebra (MATH 2114): None,Numerical Methods (MATH 3114): None,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): None,Statistical Inference (STAT 3112): None,Time Series Analysis (STAT 4114): None
202429,Level 4,B.Sc. (Special) Degree,"Auditory, Kinesthetic, Visual",Morning,"Sinhala, English, Tamil","Statistics, Computer Sciences, Maths, Electronics","Coursera, edX","Programming, Machine Learning",Entrepreneur,Understanding Concepts,More Practice,Introduction to Computer Systems (CMIS 2113): None,Programming Fundamentals (CMIS 2123): None,Data Structures and Algorithms (CMIS 2214): None,Operating Systems (CMIS 3114): None,Database Systems (CMIS 3122): None,Object-Oriented Programming (CMIS 3134): None,Advanced Software Engineering (CMIS 4114): None,Artificial Intelligence (CMIS 4123): None,Network Security (CMIS 4134): None,Basic Electronics (ELTN 2112): None,Circuit Analysis (ELTN 2232): None,Microprocessor Systems (ELTN 3113): None,Digital Electronics (ELTN 3133): None,Embedded Systems Design (ELTN 4114): None,Power Electronics (ELTN 4213): None,Foundations of Industrial Management (IMGT 2112): None,Operations Management (IMGT 3112): None,Strategic Management (IMGT 4016): None,Linear Algebra (MATH 2114): None,Numerical Methods (MATH 3114): None,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): None,Statistical Inference (STAT 3112): None,Time Series Analysis (STAT 4114): None
222818,Level 2,B.Sc. (Special/Joint Major/General) Degree,"Visual, Reading/Writing",Morning,"Sinhala, English","Maths, Industrial Management, Electronics, Computer Sciences","edX, Udemy, Books, YouTube, Coursera","Machine Learning, Programming, Robotics, Data Science",Software Engineer,Resources,More Practice,Introduction to Computer Systems (CMIS 2113): A,Programming Fundamentals (CMIS 2123): B+,Data Structures and Algorithms (CMIS 2214): C-,Operating Systems (CMIS 3114): None,Database Systems (CMIS 3122): None,Object-Oriented Programming (CMIS 3134): None,Advanced Software Engineering (CMIS 4114): None,Artificial Intelligence (CMIS 4123): None,Network Security (CMIS 4134): None,Basic Electronics (ELTN 2112): B,Circuit Analysis (ELTN 2232): B,Microprocessor Systems (ELTN 3113): None,Digital Electronics (ELTN 3133): None,Embedded Systems Design (ELTN 4114): None,Power Electronics (ELTN 4213): None,Foundations of Industrial Management (IMGT 2112): B,Operations Management (IMGT 3112): None,Strategic Management (IMGT 4016): None,Linear Algebra (MATH 2114): D,Numerical Methods (MATH 3114): None,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): None,Statistical Inference (STAT 3112): None,Time Series Analysis (STAT 4114): None
202507,Level 4,B.Sc. (General) Degree,Reading/Writing,Afternoon,"Sinhala, English","Industrial Management, Electronics, Statistics","Udemy, Coursera","Programming, AI",Researcher,Understanding Concepts,Online Courses,Introduction to Computer Systems (CMIS 2113): None,Programming Fundamentals (CMIS 2123): None,Data Structures and Algorithms (CMIS 2214): None,Operating Systems (CMIS 3114): None,Database Systems (CMIS 3122): None,Object-Oriented Programming (CMIS 3134): None,Advanced Software Engineering (CMIS 4114): None,Artificial Intelligence (CMIS 4123): None,Network Security (CMIS 4134): None,Basic Electronics (ELTN 2112): None,Circuit Analysis (ELTN 2232): None,Microprocessor Systems (ELTN 3113): None,Digital Electronics (ELTN 3133): None,Embedded Systems Design (ELTN 4114): None,Power Electronics (ELTN 4213): None,Foundations of Industrial Management (IMGT 2112): None,Operations Management (IMGT 3112): None,Strategic Management (IMGT 4016): B+,Linear Algebra (MATH 2114): None,Numerical Methods (MATH 3114): None,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): None,Statistical Inference (STAT 3112): None,Time Series Analysis (STAT 4114): None
212535,Level 3,B.Sc. (Special) Degree,"Visual, Auditory, Reading/Writing, Kinesthetic",Evening,"Tamil, Sinhala","Maths, Statistics, Computer Sciences, Electronics","Khan Academy, edX, Books","Machine Learning, Data Science, Programming, AI",Data Scientist,Understanding Concepts,Online Courses,Introduction to Computer Systems (CMIS 2113): None,Programming Fundamentals (CMIS 2123): None,Data Structures and Algorithms (CMIS 2214): None,Operating Systems (CMIS 3114): E,Database Systems (CMIS 3122): C-,Object-Oriented Programming (CMIS 3134): C-,Advanced Software Engineering (CMIS 4114): None,Artificial Intelligence (CMIS 4123): None,Network Security (CMIS 4134): None,Basic Electronics (ELTN 2112): None,Circuit Analysis (ELTN 2232): None,Microprocessor Systems (ELTN 3113): E,Digital Electronics (ELTN 3133): A,Embedded Systems Design (ELTN 4114): None,Power Electronics (ELTN 4213): None,Foundations of Industrial Management (IMGT 2112): None,Operations Management (IMGT 3112): C,Strategic Management (IMGT 4016): None,Linear Algebra (MATH 2114): None,Numerical Methods (MATH 3114): None,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): None,Statistical Inference (STAT 3112): A+,Time Series Analysis (STAT 4114): None
212626,Level 3,B.Sc. (Joint Major) Degree,"Reading/Writing, Auditory, Visual",Morning,Sinhala,Electronics,"Udemy, Books","AI, Programming",Software Engineer,Time Management,More Practice,Introduction to Computer Systems (CMIS 2113): None,Programming Fundamentals (CMIS 2123): None,Data Structures and Algorithms (CMIS 2214): None,Operating Systems (CMIS 3114): E,Database Systems (CMIS 3122): A+,Object-Oriented Programming (CMIS 3134): C-,Advanced Software Engineering (CMIS 4114): None,Artificial Intelligence (CMIS 4123): None,Network Security (CMIS 4134): None,Basic Electronics (ELTN 2112): None,Circuit Analysis (ELTN 2232): None,Microprocessor Systems (ELTN 3113): B,Digital Electronics (ELTN 3133): B,Embedded Systems Design (ELTN 4114): None,Power Electronics (ELTN 4213): None,Foundations of Industrial Management (IMGT 2112): None,Operations Management (IMGT 3112): A,Strategic Management (IMGT 4016): None,Linear Algebra (MATH 2114): None,Numerical Methods (MATH 3114): None,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): None,Statistical Inference (STAT 3112): A,Time Series Analysis (STAT 4114): None
